,Query,Bitscore,E-value
99,OTU13194,-1.0,-1.0
100,OTU16880,-1.0,-1.0
101,OTU6928,-1.0,-1.0
102,OTU16867,-1.0,-1.0
103,OTU16809,-1.0,-1.0
104,OTU13224,-1.0,-1.0
105,OTU17049,-1.0,-1.0
106,OTU10408,-1.0,-1.0
107,OTU17128,-1.0,-1.0
108,OTU13513,-1.0,-1.0
109,OTU5932,-1.0,-1.0
110,OTU16441,-1.0,-1.0
111,OTU16403,-1.0,-1.0
112,OTU12946,-1.0,-1.0
113,OTU16442,-1.0,-1.0
114,OTU16421,-1.0,-1.0
115,OTU16467,-1.0,-1.0
116,OTU3708,-1.0,-1.0
117,OTU12812,-1.0,-1.0
118,OTU3165,-1.0,-1.0
119,OTU16716,-1.0,-1.0
120,OTU3000,-1.0,-1.0
121,OTU16598,-1.0,-1.0
122,OTU6303,-1.0,-1.0
123,OTU10126,-1.0,-1.0
124,OTU17132,52.8,5e-06
125,OTU12987,-1.0,-1.0
126,OTU13024,-1.0,-1.0
127,OTU13796,-1.0,-1.0
128,OTU17782,-1.0,-1.0
129,OTU13562,-1.0,-1.0
130,OTU13677,-1.0,-1.0
131,OTU2839,-1.0,-1.0
132,OTU17269,-1.0,-1.0
133,OTU4714,52.8,5e-06
134,OTU2186,-1.0,-1.0
135,OTU8743,-1.0,-1.0
136,OTU17149,-1.0,-1.0
137,OTU10637,-1.0,-1.0
138,OTU17180,-1.0,-1.0
139,OTU17193,-1.0,-1.0
140,OTU17441,-1.0,-1.0
141,OTU7184,-1.0,-1.0
142,OTU7825,-1.0,-1.0
143,OTU1322,-1.0,-1.0
144,OTU7730,-1.0,-1.0
145,OTU4485,-1.0,-1.0
146,OTU7732,-1.0,-1.0
147,OTU2603,-1.0,-1.0
148,OTU702,-1.0,-1.0
149,OTU17483,-1.0,-1.0
150,OTU4494,-1.0,-1.0
151,OTU17468,-1.0,-1.0
152,OTU7796,-1.0,-1.0
153,OTU17326,-1.0,-1.0
154,OTU13914,-1.0,-1.0
155,OTU11477,-1.0,-1.0
156,OTU17398,-1.0,-1.0
157,OTU11399,-1.0,-1.0
158,OTU11393,-1.0,-1.0
159,OTU11475,-1.0,-1.0
160,OTU7555,-1.0,-1.0
161,OTU17477,-1.0,-1.0
162,OTU4357,-1.0,-1.0
163,OTU17199,-1.0,-1.0
164,OTU11765,-1.0,-1.0
165,OTU11761,-1.0,-1.0
166,OTU11753,52.8,4e-06
167,OTU17156,-1.0,-1.0
168,OTU17177,-1.0,-1.0
169,OTU17276,-1.0,-1.0
170,OTU4148,-1.0,-1.0
171,OTU17253,-1.0,-1.0
172,OTU17749,-1.0,-1.0
173,OTU17761,-1.0,-1.0
174,OTU8822,-1.0,-1.0
175,OTU11553,-1.0,-1.0
176,OTU11595,-1.0,-1.0
177,OTU17559,-1.0,-1.0
178,OTU1,176.0,2e-43
179,OTU5885,-1.0,-1.0
180,OTU7589,-1.0,-1.0
181,OTU17574,-1.0,-1.0
182,OTU17517,-1.0,-1.0
183,OTU11722,-1.0,-1.0
184,OTU17533,-1.0,-1.0
185,OTU8787,-1.0,-1.0
186,OTU8717,-1.0,-1.0
187,OTU17664,-1.0,-1.0
188,OTU11737,-1.0,-1.0
189,OTU11684,-1.0,-1.0
190,OTU11686,-1.0,-1.0
191,OTU16653,-1.0,-1.0
192,OTU16624,-1.0,-1.0
193,OTU16608,-1.0,-1.0
194,OTU8408,143.0,2e-33
195,OTU16464,137.0,1e-31
196,OTU3671,158.0,9e-38
197,OTU16541,-1.0,-1.0
198,OTU12493,-1.0,-1.0
199,OTU12492,52.8,4e-06
200,OTU16535,-1.0,-1.0
201,OTU16500,-1.0,-1.0
202,OTU7372,-1.0,-1.0
203,OTU1293,-1.0,-1.0
204,OTU10139,-1.0,-1.0
205,OTU7512,-1.0,-1.0
206,OTU6528,-1.0,-1.0
207,OTU16955,-1.0,-1.0
208,OTU16984,-1.0,-1.0
209,OTU16983,-1.0,-1.0
210,OTU10444,-1.0,-1.0
211,OTU3776,-1.0,-1.0
212,OTU12331,-1.0,-1.0
213,OTU12333,-1.0,-1.0
214,OTU12321,-1.0,-1.0
215,OTU17127,-1.0,-1.0
216,OTU17121,-1.0,-1.0
217,OTU3678,-1.0,-1.0
218,OTU17062,-1.0,-1.0
219,OTU17064,-1.0,-1.0
220,OTU10435,-1.0,-1.0
221,OTU17073,-1.0,-1.0
222,OTU17069,-1.0,-1.0
223,OTU17042,-1.0,-1.0
224,OTU1131,-1.0,-1.0
225,OTU16852,-1.0,-1.0
226,OTU16848,-1.0,-1.0
227,OTU10477,-1.0,-1.0
228,OTU16841,-1.0,-1.0
229,OTU10482,-1.0,-1.0
230,OTU12395,-1.0,-1.0
231,OTU16772,-1.0,-1.0
232,OTU8100,-1.0,-1.0
233,OTU16804,-1.0,-1.0
234,OTU6858,-1.0,-1.0
235,OTU8105,-1.0,-1.0
236,OTU8106,-1.0,-1.0
237,OTU16797,-1.0,-1.0
238,OTU16795,-1.0,-1.0
239,OTU9038,-1.0,-1.0
240,OTU12687,52.8,4e-06
241,OTU9051,-1.0,-1.0
242,OTU18739,-1.0,-1.0
243,OTU18608,-1.0,-1.0
244,OTU19049,-1.0,-1.0
245,OTU12651,-1.0,-1.0
246,OTU10033,-1.0,-1.0
247,OTU2268,-1.0,-1.0
248,OTU19042,-1.0,-1.0
249,OTU12576,-1.0,-1.0
250,OTU18933,-1.0,-1.0
251,OTU18896,-1.0,-1.0
252,OTU18902,-1.0,-1.0
253,OTU12556,-1.0,-1.0
254,OTU40,95.3,7e-19
255,OTU18909,-1.0,-1.0
256,OTU9919,-1.0,-1.0
257,OTU12529,-1.0,-1.0
258,OTU9869,-1.0,-1.0
259,OTU9815,-1.0,-1.0
260,OTU19036,63.9,2e-09
261,OTU19034,52.8,4e-06
262,OTU19030,-1.0,-1.0
263,OTU12544,-1.0,-1.0
264,OTU8990,-1.0,-1.0
265,OTU17883,52.8,4e-06
266,OTU17958,-1.0,-1.0
267,OTU17957,-1.0,-1.0
268,OTU18396,-1.0,-1.0
269,OTU11033,-1.0,-1.0
270,OTU8857,86.1,4e-16
271,OTU11962,-1.0,-1.0
272,OTU2102,52.8,4e-06
273,OTU18293,-1.0,-1.0
274,OTU2477,-1.0,-1.0
275,OTU4235,-1.0,-1.0
276,OTU18300,-1.0,-1.0
277,OTU18450,-1.0,-1.0
278,OTU5201,-1.0,-1.0
279,OTU7056,-1.0,-1.0
280,OTU18342,-1.0,-1.0
281,OTU11826,-1.0,-1.0
282,OTU17908,-1.0,-1.0
283,OTU11792,65.8,5e-10
284,OTU10728,-1.0,-1.0
285,OTU18911,-1.0,-1.0
286,OTU19025,49.1,5e-05
287,OTU11867,-1.0,-1.0
288,OTU18955,-1.0,-1.0
289,OTU6958,-1.0,-1.0
290,OTU11888,-1.0,-1.0
291,OTU18705,-1.0,-1.0
292,OTU6560,52.8,4e-06
293,OTU7812,-1.0,-1.0
294,OTU12198,-1.0,-1.0
295,OTU14798,-1.0,-1.0
296,OTU10971,52.8,4e-06
297,OTU8511,-1.0,-1.0
298,OTU3844,-1.0,-1.0
299,OTU7171,-1.0,-1.0
300,OTU821,-1.0,-1.0
301,OTU14446,-1.0,-1.0
302,OTU12132,-1.0,-1.0
303,OTU14475,-1.0,-1.0
304,OTU7572,-1.0,-1.0
305,OTU8541,-1.0,-1.0
306,OTU14712,-1.0,-1.0
307,OTU1994,93.5,2e-18
308,OTU14745,-1.0,-1.0
309,OTU12037,-1.0,-1.0
310,OTU10719,-1.0,-1.0
311,OTU10598,-1.0,-1.0
312,OTU14268,-1.0,-1.0
313,OTU9738,-1.0,-1.0
314,OTU14372,-1.0,-1.0
315,OTU12059,-1.0,-1.0
316,OTU14161,-1.0,-1.0
317,OTU14166,-1.0,-1.0
318,OTU12146,-1.0,-1.0
319,OTU14211,-1.0,-1.0
320,OTU14185,-1.0,-1.0
321,OTU14188,-1.0,-1.0
322,OTU12226,52.8,4e-06
323,OTU15906,-1.0,-1.0
324,OTU15868,-1.0,-1.0
325,OTU15862,-1.0,-1.0
326,OTU15884,-1.0,-1.0
327,OTU15998,-1.0,-1.0
328,OTU16013,-1.0,-1.0
329,OTU4534,-1.0,-1.0
330,OTU3697,-1.0,-1.0
331,OTU2129,54.7,1e-06
332,OTU15755,-1.0,-1.0
333,OTU11843,-1.0,-1.0
334,OTU11837,-1.0,-1.0
335,OTU15779,-1.0,-1.0
336,OTU15794,49.1,5e-05
337,OTU7116,-1.0,-1.0
338,OTU11303,49.1,5e-05
339,OTU2842,-1.0,-1.0
340,OTU9351,-1.0,-1.0
341,OTU11894,-1.0,-1.0
342,OTU11972,-1.0,-1.0
343,OTU11973,-1.0,-1.0
344,OTU16348,-1.0,-1.0
345,OTU16345,-1.0,-1.0
346,OTU11329,-1.0,-1.0
347,OTU16102,-1.0,-1.0
348,OTU11018,-1.0,-1.0
349,OTU5682,-1.0,-1.0
350,OTU4372,-1.0,-1.0
351,OTU11164,-1.0,-1.0
352,OTU15197,-1.0,-1.0
353,OTU15211,-1.0,-1.0
354,OTU15146,-1.0,-1.0
355,OTU15141,-1.0,-1.0
356,OTU3073,-1.0,-1.0
357,OTU15263,-1.0,-1.0
358,OTU12716,-1.0,-1.0
359,OTU15577,-1.0,-1.0
360,OTU15505,-1.0,-1.0
361,OTU12771,-1.0,-1.0
362,OTU9978,-1.0,-1.0
363,OTU9994,104.0,9e-22
364,OTU15636,-1.0,-1.0
365,OTU12759,-1.0,-1.0
366,OTU12676,-1.0,-1.0
367,OTU15328,-1.0,-1.0
368,OTU5984,-1.0,-1.0
369,OTU10290,-1.0,-1.0
370,OTU15475,-1.0,-1.0
371,OTU1512,110.0,2e-23
372,OTU15414,110.0,2e-23
373,OTU15412,-1.0,-1.0
374,OTU10325,-1.0,-1.0
375,OTU15443,52.8,3e-06
376,OTU15438,-1.0,-1.0
377,OTU15357,-1.0,-1.0
378,OTU15384,-1.0,-1.0
379,OTU15531,63.9,2e-09
380,OTU4106,-1.0,-1.0
381,OTU15103,-1.0,-1.0
382,OTU9154,-1.0,-1.0
383,OTU12277,113.0,1e-24
384,OTU15222,-1.0,-1.0
385,OTU12327,-1.0,-1.0
386,OTU16199,-1.0,-1.0
387,OTU10110,-1.0,-1.0
388,OTU12491,-1.0,-1.0
389,OTU16076,-1.0,-1.0
390,OTU2346,-1.0,-1.0
391,OTU16100,-1.0,-1.0
392,OTU12476,117.0,1e-25
393,OTU12517,128.0,5e-29
394,OTU9672,-1.0,-1.0
395,OTU16261,-1.0,-1.0
396,OTU3028,-1.0,-1.0
397,OTU16283,-1.0,-1.0
398,OTU15770,-1.0,-1.0
399,OTU10064,-1.0,-1.0
400,OTU2568,165.0,2e-40
401,OTU13935,165.0,2e-40
402,OTU3468,165.0,2e-40
403,OTU2744,171.0,5e-42
404,OTU2724,165.0,2e-40
405,OTU2095,165.0,2e-40
406,OTU18169,165.0,2e-40
407,OTU10652,159.0,1e-38
408,OTU5200,165.0,2e-40
409,OTU1982,165.0,2e-40
410,OTU5199,165.0,2e-40
411,OTU5198,165.0,2e-40
412,OTU1812,165.0,2e-40
413,OTU1650,165.0,2e-40
414,OTU2749,165.0,2e-40
415,OTU8977,159.0,1e-38
416,OTU3281,165.0,2e-40
417,OTU2520,165.0,2e-40
418,OTU13904,165.0,2e-40
419,OTU6792,165.0,2e-40
420,OTU1798,165.0,2e-40
421,OTU2753,165.0,2e-40
422,OTU6774,154.0,5e-37
423,OTU17887,139.0,1e-32
424,OTU5533,150.0,6e-36
425,OTU1550,-1.0,-1.0
426,OTU1132,137.0,5e-32
427,OTU1109,154.0,5e-37
428,OTU1143,163.0,8e-40
429,OTU13941,156.0,1e-37
430,OTU17960,49.1,2e-05
431,OTU17,180.0,1e-44
432,OTU15733,-1.0,-1.0
433,OTU15958,-1.0,-1.0
434,OTU5669,-1.0,-1.0
435,OTU14707,-1.0,-1.0
436,OTU3814,-1.0,-1.0
437,OTU12452,-1.0,-1.0
438,OTU14863,-1.0,-1.0
439,OTU8385,-1.0,-1.0
440,OTU11739,185.0,3e-46
441,OTU6688,-1.0,-1.0
442,OTU2488,-1.0,-1.0
443,OTU4780,-1.0,-1.0
444,OTU3315,-1.0,-1.0
445,OTU7619,-1.0,-1.0
446,OTU623,-1.0,-1.0
447,OTU11716,-1.0,-1.0
448,OTU4010,-1.0,-1.0
449,OTU6747,-1.0,-1.0
450,OTU17877,-1.0,-1.0
451,OTU9241,-1.0,-1.0
452,OTU1108,-1.0,-1.0
453,OTU7688,-1.0,-1.0
454,OTU18931,-1.0,-1.0
455,OTU7313,-1.0,-1.0
456,OTU11611,-1.0,-1.0
457,OTU18533,-1.0,-1.0
458,OTU18504,-1.0,-1.0
459,OTU18753,-1.0,-1.0
460,OTU9476,-1.0,-1.0
461,OTU16971,-1.0,-1.0
462,OTU10593,-1.0,-1.0
463,OTU16664,-1.0,-1.0
464,OTU11639,-1.0,-1.0
465,OTU9221,-1.0,-1.0
466,OTU2517,-1.0,-1.0
467,OTU1247,-1.0,-1.0
468,OTU17763,-1.0,-1.0
469,OTU9573,-1.0,-1.0
470,OTU1471,176.0,2e-43
471,OTU4301,182.0,4e-45
472,OTU10661,-1.0,-1.0
473,OTU2318,-1.0,-1.0
474,OTU7824,-1.0,-1.0
475,OTU2638,-1.0,-1.0
476,OTU17323,-1.0,-1.0
477,OTU17389,-1.0,-1.0
478,OTU3083,195.0,5e-49
479,OTU9598,-1.0,-1.0
480,OTU6212,174.0,6e-43
481,OTU971,196.0,1e-49
482,OTU7452,56.5,2e-07
483,OTU11394,-1.0,-1.0
484,OTU10858,-1.0,-1.0
485,OTU10833,187.0,8e-47
486,OTU6502,185.0,3e-46
487,OTU1813,176.0,2e-43
488,OTU17583,-1.0,-1.0
489,OTU11670,-1.0,-1.0
490,OTU2248,-1.0,-1.0
491,OTU7499,-1.0,-1.0
492,OTU10803,-1.0,-1.0
493,OTU2500,-1.0,-1.0
494,OTU10930,-1.0,-1.0
495,OTU2801,196.0,1e-49
496,OTU10962,-1.0,-1.0
497,OTU16762,-1.0,-1.0
498,OTU9195,-1.0,-1.0
499,OTU3728,84.2,1e-15
500,OTU1136,102.0,3e-21
501,OTU4046,-1.0,-1.0
502,OTU11738,-1.0,-1.0
503,OTU7907,-1.0,-1.0
504,OTU1286,-1.0,-1.0
505,OTU17012,-1.0,-1.0
506,OTU3983,174.0,6e-43
507,OTU17077,-1.0,-1.0
508,OTU11696,-1.0,-1.0
509,OTU16813,-1.0,-1.0
510,OTU16834,-1.0,-1.0
511,OTU16849,-1.0,-1.0
512,OTU11260,-1.0,-1.0
513,OTU16793,-1.0,-1.0
514,OTU11524,-1.0,-1.0
515,OTU2627,-1.0,-1.0
516,OTU3341,-1.0,-1.0
517,OTU11535,-1.0,-1.0
518,OTU16859,52.8,3e-06
519,OTU11248,-1.0,-1.0
520,OTU16897,-1.0,-1.0
521,OTU16884,-1.0,-1.0
522,OTU18674,52.8,3e-06
523,OTU11483,-1.0,-1.0
524,OTU11481,-1.0,-1.0
525,OTU18759,-1.0,-1.0
526,OTU6718,102.0,3e-21
527,OTU845,-1.0,-1.0
528,OTU2903,-1.0,-1.0
529,OTU11032,-1.0,-1.0
530,OTU18825,-1.0,-1.0
531,OTU9617,-1.0,-1.0
532,OTU18842,-1.0,-1.0
533,OTU11584,-1.0,-1.0
534,OTU11552,-1.0,-1.0
535,OTU11569,-1.0,-1.0
536,OTU18039,71.3,8e-12
537,OTU18156,-1.0,-1.0
538,OTU11604,-1.0,-1.0
539,OTU7675,-1.0,-1.0
540,OTU17947,-1.0,-1.0
541,OTU9888,-1.0,-1.0
542,OTU2430,154.0,7e-37
543,OTU17885,-1.0,-1.0
544,OTU2884,-1.0,-1.0
545,OTU9131,-1.0,-1.0
546,OTU9132,-1.0,-1.0
547,OTU9209,-1.0,-1.0
548,OTU5884,-1.0,-1.0
549,OTU5180,-1.0,-1.0
550,OTU11544,-1.0,-1.0
551,OTU9332,73.1,2e-12
552,OTU11531,-1.0,-1.0
553,OTU3592,-1.0,-1.0
554,OTU18381,52.8,3e-06
555,OTU18405,-1.0,-1.0
556,OTU9366,-1.0,-1.0
557,OTU4074,-1.0,-1.0
558,OTU5670,95.3,5e-19
559,OTU18345,-1.0,-1.0
560,OTU18372,-1.0,-1.0
561,OTU11720,52.8,3e-06
562,OTU18360,-1.0,-1.0
563,OTU10348,-1.0,-1.0
564,OTU1707,158.0,6e-38
565,OTU10358,-1.0,-1.0
566,OTU9388,60.2,2e-08
567,OTU9334,-1.0,-1.0
568,OTU18255,-1.0,-1.0
569,OTU18196,-1.0,-1.0
570,OTU5125,63.9,1e-09
571,OTU18333,-1.0,-1.0
572,OTU18329,126.0,2e-28
573,OTU18266,-1.0,-1.0
574,OTU18295,-1.0,-1.0
575,OTU11744,-1.0,-1.0
576,OTU11746,-1.0,-1.0
577,OTU17911,-1.0,-1.0
578,OTU18166,-1.0,-1.0
579,OTU5676,176.0,2e-43
580,OTU18945,65.8,3e-10
581,OTU7504,163.0,8e-40
582,OTU1340,158.0,4e-38
583,OTU17979,135.0,2e-31
584,OTU6150,165.0,2e-40
585,OTU3871,171.0,5e-42
586,OTU1776,171.0,5e-42
587,OTU17972,159.0,1e-38
588,OTU17970,161.0,3e-39
589,OTU4137,165.0,2e-40
590,OTU4200,165.0,2e-40
591,OTU2158,165.0,2e-40
592,OTU18355,159.0,1e-38
593,OTU13557,159.0,1e-38
594,OTU2656,159.0,1e-38
595,OTU8964,154.0,5e-37
596,OTU3055,154.0,5e-37
597,OTU8962,159.0,1e-38
598,OTU8961,95.3,3e-19
599,OTU5271,159.0,1e-38
600,OTU6652,159.0,1e-38
601,OTU7113,159.0,1e-38
602,OTU5220,159.0,1e-38
603,OTU11301,159.0,1e-38
604,OTU2387,154.0,5e-37
605,OTU13738,159.0,1e-38
606,OTU6779,159.0,1e-38
607,OTU5219,159.0,1e-38
608,OTU4847,163.0,8e-40
609,OTU8922,159.0,1e-38
610,OTU7103,63.9,1e-09
611,OTU4860,-1.0,-1.0
612,OTU1455,-1.0,-1.0
613,OTU18515,-1.0,-1.0
614,OTU18529,75.0,6e-13
615,OTU9160,-1.0,-1.0
616,OTU14194,-1.0,-1.0
617,OTU14168,-1.0,-1.0
618,OTU14341,-1.0,-1.0
619,OTU9242,65.8,3e-10
620,OTU9229,65.8,3e-10
621,OTU332,56.5,2e-07
622,OTU14099,-1.0,-1.0
623,OTU5115,-1.0,-1.0
624,OTU10156,-1.0,-1.0
625,OTU7352,-1.0,-1.0
626,OTU14752,-1.0,-1.0
627,OTU11662,-1.0,-1.0
628,OTU14799,-1.0,-1.0
629,OTU2985,-1.0,-1.0
630,OTU3042,-1.0,-1.0
631,OTU4237,-1.0,-1.0
632,OTU9495,54.7,7e-07
633,OTU10066,-1.0,-1.0
634,OTU11396,56.5,2e-07
635,OTU2975,56.5,2e-07
636,OTU7291,56.5,2e-07
637,OTU8443,89.8,2e-17
638,OTU10057,-1.0,-1.0
639,OTU14507,-1.0,-1.0
640,OTU9685,56.5,2e-07
641,OTU10093,56.5,2e-07
642,OTU7252,-1.0,-1.0
643,OTU11472,56.5,2e-07
644,OTU9507,-1.0,-1.0
645,OTU5704,-1.0,-1.0
646,OTU9505,-1.0,-1.0
647,OTU6317,-1.0,-1.0
648,OTU14634,-1.0,-1.0
649,OTU14621,-1.0,-1.0
650,OTU9647,56.5,2e-07
651,OTU14437,56.5,2e-07
652,OTU14415,-1.0,-1.0
653,OTU7545,-1.0,-1.0
654,OTU14405,-1.0,-1.0
655,OTU7537,56.5,2e-07
656,OTU14488,-1.0,-1.0
657,OTU9611,-1.0,-1.0
658,OTU11404,-1.0,-1.0
659,OTU10192,-1.0,-1.0
660,OTU10200,-1.0,-1.0
661,OTU8423,-1.0,-1.0
662,OTU12445,-1.0,-1.0
663,OTU14823,75.0,6e-13
664,OTU14702,-1.0,-1.0
665,OTU10165,-1.0,-1.0
666,OTU3018,52.8,3e-06
667,OTU14666,185.0,2e-46
668,OTU9664,62.1,4e-09
669,OTU734,56.5,2e-07
670,OTU4478,56.5,2e-07
671,OTU2221,-1.0,-1.0
672,OTU5687,-1.0,-1.0
673,OTU3427,-1.0,-1.0
674,OTU6238,-1.0,-1.0
675,OTU2096,54.7,7e-07
676,OTU12409,-1.0,-1.0
677,OTU9,180.0,1e-44
678,OTU12412,65.8,3e-10
679,OTU12401,-1.0,-1.0
680,OTU14141,195.0,4e-49
681,OTU802,-1.0,-1.0
682,OTU2184,176.0,1e-43
683,OTU12421,-1.0,-1.0
684,OTU9516,-1.0,-1.0
685,OTU15923,-1.0,-1.0
686,OTU2485,-1.0,-1.0
687,OTU15926,-1.0,-1.0
688,OTU10241,-1.0,-1.0
689,OTU10248,-1.0,-1.0
690,OTU6061,-1.0,-1.0
691,OTU16006,161.0,4e-39
692,OTU15995,100.0,9e-21
693,OTU3306,62.1,4e-09
694,OTU15962,-1.0,-1.0
695,OTU15959,-1.0,-1.0
696,OTU10085,-1.0,-1.0
697,OTU15982,215.0,3e-55
698,OTU15701,-1.0,-1.0
699,OTU12495,-1.0,-1.0
700,OTU15769,-1.0,-1.0
701,OTU16217,-1.0,-1.0
702,OTU1857,-1.0,-1.0
703,OTU5705,-1.0,-1.0
704,OTU10128,-1.0,-1.0
705,OTU12464,-1.0,-1.0
706,OTU16093,-1.0,-1.0
707,OTU3522,-1.0,-1.0
708,OTU2364,67.6,9e-11
709,OTU4230,-1.0,-1.0
710,OTU5143,-1.0,-1.0
711,OTU3724,-1.0,-1.0
712,OTU5904,-1.0,-1.0
713,OTU10111,-1.0,-1.0
714,OTU16162,-1.0,-1.0
715,OTU16151,52.8,3e-06
716,OTU15195,-1.0,-1.0
717,OTU15180,-1.0,-1.0
718,OTU9289,-1.0,-1.0
719,OTU1746,65.8,3e-10
720,OTU5668,-1.0,-1.0
721,OTU2054,-1.0,-1.0
722,OTU10459,198.0,3e-50
723,OTU976,204.0,7e-52
724,OTU5111,204.0,7e-52
725,OTU1714,65.8,3e-10
726,OTU8121,-1.0,-1.0
727,OTU10422,-1.0,-1.0
728,OTU15127,135.0,2e-31
729,OTU3831,65.8,3e-10
730,OTU5994,80.5,1e-14
731,OTU15077,84.2,9e-16
732,OTU15558,-1.0,-1.0
733,OTU12305,-1.0,-1.0
734,OTU3567,-1.0,-1.0
735,OTU2563,-1.0,-1.0
736,OTU15669,-1.0,-1.0
737,OTU4015,-1.0,-1.0
738,OTU10495,-1.0,-1.0
739,OTU12378,159.0,1e-38
740,OTU5472,159.0,1e-38
741,OTU6563,159.0,1e-38
742,OTU11289,159.0,1e-38
743,OTU11288,159.0,1e-38
744,OTU8889,159.0,1e-38
745,OTU7859,159.0,1e-38
746,OTU4845,159.0,1e-38
747,OTU6826,159.0,1e-38
748,OTU11229,159.0,1e-38
749,OTU8921,159.0,1e-38
750,OTU8886,154.0,5e-37
751,OTU4244,154.0,5e-37
752,OTU13720,159.0,1e-38
753,OTU8885,159.0,1e-38
754,OTU5233,156.0,1e-37
755,OTU11221,159.0,1e-38
756,OTU8883,159.0,1e-38
757,OTU8882,159.0,1e-38
758,OTU6815,100.0,6e-21
759,OTU6657,159.0,1e-38
760,OTU6584,154.0,5e-37
761,OTU18206,159.0,1e-38
762,OTU13679,159.0,1e-38
763,OTU18323,159.0,1e-38
764,OTU3643,159.0,1e-38
765,OTU13765,147.0,8e-35
766,OTU11203,148.0,2e-35
767,OTU18264,148.0,2e-35
768,OTU13758,158.0,4e-38
769,OTU18285,102.0,2e-21
770,OTU2366,-1.0,-1.0
771,OTU15366,54.7,7e-07
772,OTU15359,67.6,9e-11
773,OTU9193,-1.0,-1.0
774,OTU10467,-1.0,-1.0
775,OTU12386,150.0,9e-36
776,OTU15349,-1.0,-1.0
777,OTU15408,-1.0,-1.0
778,OTU46,213.0,1e-54
779,OTU707,213.0,1e-54
780,OTU851,202.0,2e-51
781,OTU15429,-1.0,-1.0
782,OTU2489,154.0,7e-37
783,OTU6854,80.5,1e-14
784,OTU904,141.0,5e-33
785,OTU112,169.0,2e-41
786,OTU12354,130.0,1e-29
787,OTU12355,132.0,3e-30
788,OTU15488,-1.0,-1.0
